#{"t_start": 1647345549.5906904, "env_id": "LGW-v0"}
r,l,t
60.0,200,171.842061
60.0,200,172.047132
60.0,200,172.263926
60.0,200,172.480733
60.0,200,172.688134
60.0,200,172.897485
60.0,200,173.125462
60.0,200,176.149133
60.0,200,176.428368
60.0,200,176.661515
60.0,200,176.902741
60.0,200,177.1043
60.0,200,177.329989
60.0,200,177.550335
60.0,200,177.772149
60.0,200,178.001035
60.0,200,178.235475
60.0,200,180.79381
60.0,200,181.007135
60.0,200,181.224293
60.0,200,181.428049
60.0,200,181.635437
60.0,200,181.85269
60.0,200,182.064306
60.0,200,182.269769
60.0,200,182.483952
60.0,200,182.70812
60.0,200,185.170736
60.0,200,185.36376
60.0,200,185.556231
60.0,200,185.748475
60.0,200,185.954829
60.0,200,186.148979
60.0,200,186.345916
60.0,200,186.556767
60.0,200,186.751425
60.0,200,186.960665
