#{"t_start": 1657101739.2384076, "env_id": "JTL-v0"}
r,l,t
-2.333333,8,60.883893
-3.0,9,60.908708
-2.333333,8,60.930463
-4.916667,12,60.962465
-2.416667,9,60.988364
-2.333333,8,61.010993
-2.333333,8,61.031345
-3.0,9,61.056791
-2.333333,8,61.078947
-2.333333,8,61.10101
-2.333333,8,61.122815
-2.333333,8,61.144019
-2.333333,8,61.164747
-2.333333,8,61.187247
-2.333333,8,61.206272
-3.0,9,61.231227
-3.0,9,61.256719
-2.333333,8,61.278722
-2.333333,8,61.300826
-2.333333,8,61.32299-3.-4.083333,11,61.-4.16666-3.0,9,61.381475-3-2.333333,8,61.4-2.3333-3.0,9,61.426357-3-3.0,9,61.450524-2-2.333333,8,61.472558-3-3.25,11,61.501759
-2.333333,8,61.522508-2-2.333333,8,61.543795-2-3.0,9,61.569883
-2.333333,8,61.590927
-3.0,9,61.619978
-2.333333,8,61.641073
-2.333333,8,61.663132
-3.0,9,61.687132
-3.833333,12,61.719465
-3.25,11,61.750247
-3.0,9,61.774945
-3.0,9,61.800286
-3.0,9,61.824991
-2.333333,8,61.84756
-2.333333,8,61.874667
-2.333333,8,61.897469
-2.333333,-3.25,11,61.8-2.583-3.75,10,61.89693--3.25,11,61.92864
-2.3-3.0,9,62.002383
--3.0,9,61.975357-3.0,9,62.049939
--2.583333,10,62.025868-2-2.666667,11,62.0-2.3333-3.25,11,62.0853-2.3-3.0,9,62.109448
-3.0,9,62.135102
-2.333333,8,62.157152
-2.333333,8,62.178749
-3.5,10,62.20596
-2.5,9,62.231317
-2.416667,9,62.258675
-2.333333,8,62.280169
-2.5,10,62.305878
-3.0,12,62.342661
-2.333333,8,62.364414
-3.0,9,62.390065
-3.0,9,62.416168
-3.25,11,62.446578
-4.0,11,62.475371
-2.333333,8,62.496418
-2.416667,9,62.521316
-2.333333,8,62.542581
-2.333333,8,62.565989
-3.5,12,62.598212
-3.0,9,62.624875
-3.0,9,62.64791
-2.333333,8,62.669448
-3.5,10,62.696263
-3.0,9,62.720527
-2.333333,8,62.740949-4-2.333333,8,62.761-3.0,-3.083333,10,-4.5,12,62.-2.33333-2.916667,9,62.-3.25,11-2.333333,8,-2.333333,8-3.25,11,62-3.0,9,6-2.333333,-2.583333,10,-3.0,9,62.9-2.3333-3.0,9,63.005522-2-3.0,9,63.027937
-3.0,9,63.051685
-3.0,9,63.076047
-2.666667,9,63.101635
-2.416667,9,63.125311
-2.333333,8,63.146056
-2.333333,8,63.16782
-3.0,9,63.194111
-3.0,9,63.219162
-2.333333,8,63.24143
-3.0,9,63.265803
-3.0,9,63.290299
-3.166667,11,63.320723
-3.0,9,63.345175
-3.0,9,63.367803
-2.333333,8,63-3.75,10,-2.333333,8-3.0,9,63.-2.33333-2.333333,8,63-3.25,11,63.4662
-2.333333,8,63.488773
-2.33333-3.0,9,63.46357-3.-3.333333,12,63.-2.33333-3.25,11,63.524-2.33-2.583333,10,63.55-2.333-2.333333,8,63.57-3.0,9-2.333333,8,-2.333333,8-3.166667,12,63.628404
-3.25,11,63.66
-2.333333,8,63.681735
-3.25,11,63.711941
-2.333333,8,63.733086
-3.0,9,63.758586
-3.0,9,63.783121
-2.333333,8,63.80584
-4.25,11,63.834672
-2.333333,8,63.862443
-2.333333,8,63.884844
-4.0,12,63.917688
-2.333333,8,63.939839
-2.833333,9,63.965664
-2.333333,8,63.988-2.33-2.333333,8,64.010-3.25-4.25,13,64.045638
-3.0,9,64.071074
-2.333333,8,64.092473--3.0,9,64.117406
-3.0,9,64.143184
-4.25,11,64.172525
-2.5,9,64.198884
-3.0,9,64.22297
-2.833333,9,64.24734
-3.0,9,64.27154
-3.0,9,64.297365
-2.416667,9,64.323854
-3.0,9,64.350524
-2.333333,8,64.371788
-3.0,9,64.39547
-2.333333,8,64.419357
-2.333333,8,64.441096
-2.333333,8,64.462399
-3.0,9,64.486851
-2.333333,8,64.507892
-2.583333,10,64.532965
-4.25,11,64.566095
-2.333333,8,64.58621
-3.0,9,64.610976
-2.416667,9,64.634784
-3.083333,10,64.66349
-3.0,9,64.687515
-2.333333,8,64.70941
-2.333333,8,64.731464
-3.0,9,64.756667
-3.75,14,64.795587
-3.333333,12,64.828627
-2.333333,8,64.853713
-2.333333,8,64.87881
-4.25,11,64.909243
-3.75,14,64.950274
-3.25,11,64.978917
-3.0,9,65.004115
-3.0,9,65.027017
-3.25,11,65.056713
-3.25,11,65.086967
-3.0,9,65.111265
-3.0,9,65.136255
-3.0,9,65.160781
-3.0,9,65.1852
-3.0,9,65.210212
-3.0,9,65.234019
-3.0,9,65.258356
-2.333333,8,65.280849
-3.0,9,65.305939
-3.25,11,65.336066
-2.916667,13,65.374283
-3.0,9,65.401992
-2.416667,9,65.427192
-3.0,9,68.272788
-2.333333,8,68.288139
-2.333333,8,68.305592
-2.333333,8,68.32328
-2.333333,8,68.344275
-3.0,9,68.37232
-3.083333,10,68.400344
-2.333333,8,68.423856
-2.333333,8,68.445009
-2.333333,8,68.467399
-2.333333,8,68.4892
-2.333333,8,68.513012
-3.0,9,68.536397
-3.0,9,68.560472
-2.333333,8,68.581925
-2.333333,8,68.604835
-3.0,9,68.631748
-3.416667,13,68.666637
-2.333333,8,68.688782
-2.916667,9,68.712008
-2.333333,8,68.731976
-3.083333,10,68.757204
-3.0,9,68.782008
-2.333333,8,68.803194
-2.333333,8,68.825106
-3.0,9,68.850007
-2.333333,8,68.877552
-3.0,9,68.902262
-2.333333,8,68.924358
-3.0,9,68.949649
-3.25,11,68.979258
-3.0,9,69.002492
-3.0,9,69.027477
-2.333333,8,69.049294
-2.333333,8,69.071328
-2.333333,8,69.091758
-2.333333,8,69.113403
-2.333333,8,69.135712
-3.0,9,69.159607
-2.333333,8,69.180809
-2.333333,8,69.201667
-3.25,11,69.231485
-3.25,11,69.262417
-3.0,9,69.284968
-2.333333,8,69.304384
-3.0,9,69.328923
-3.0,9,69.352492
-3.75,11,69.386336
-3.0,9,69.41224
-2.333333,8,69.433612
-2.333333,8,69.456072
-3.0,9,69.481106
-3.0,9,69.50607
-3.0,9,69.530731
-2.333333,8,69.552347
-3.0,9,69.577515
-3.0,9,69.602278
-3.0,9,69.62527
-2.333333,8,69.647357
-3.0,9,69.672121
-2.333333,8,69.694217
-2.333333,8,69.715739
-3.0,9,69.740022
-2.333333,8,69.761316
-2.333333,8,69.781485
-2.333333,8,69.802228
-2.333333,8,69.822763
-3.0,9,69.846286
-3.0,9,69.875157
-3.0,9,69.900041
-3.0,9,69.925029
-2.333333,8,69.94767
-2.333333,8,69.970409
-2.333333,8,69.990547
-2.916667,9,70.015223
-2.333333,8,70.037352
-3.0,9,70.06196
-2.333333,8,70.083398
-2.333333,8,70.105693
-3.0,9,70.131721
-2.333333,8,70.154002
-2.333333,8,70.175458
-2.583333,9,70.20074
-2.333333,8,70.222196
-2.333333,8,70.244422
-3.0,9,70.269089
-2.333333,8,70.29-3.083-2.333333,8,70.313-3.0,-3.0,9,70.33-2.333-3.0,9,70.362138--3.0,9,70.39068
-2.333333,8,70.411743
-2.333333,8,70.43357
-2.333333,8,70.454576
-2.333333,8,70.47653
-3.0,9,70.501065
-2.333333,8,70.522709
-2.333333,8,70.54522
-2.333333,8,70.568755-3.25,11,70.647556
-3.0,9,70.671269
-2.583333,10,70.64-2.333333,8,70.720762
-3.083333,10,70.748906
-2.333333,8,70.771532
-2.333333,8,70.793328
-2.333333,8,70.814-2.33-3.0,9,70.838271
-3.0,9,70.812575
-3.0,9,70.837586
-2.333333,-3.0,9,70.911-2.3-2.333333,8,70.9377-3.0-3.0,9,70.9624-2.416667,9,70.936156
-3.0,9,70.960756
-2.333333,8,70.982811
-2.333333,8,71.004678
-3.0,9,71.02934
-2.333333,8,71.050628-3.0,9,71.131393
-2.333333,8,71.154092
-3.0,9,71.178451
--3.25,11,71.158052
-3.0,9,71.183094
-2.333333,8,71.204161
-3.0,9,71.22781
-2.333333,8,71.248827
-3.0,9,71.271354
-2.333333,8,71.293363
-2.333333,8,71.314789
-3.0,9,71.340073
-3.0,9,71.363983
-3.0,9,71.392338
-3.0,9,71.417466
-3.0,9,71.442584
-2.333333,8,71.465104
-3.0,9,71.490154
-3.0,9,71.514666
-2.333333,8,71.537356
-3.0,9,71.560593
-3.166667,10,71.587033
-2.333333,8,71.610745
-3.0,9,71.642441
-2.333333,8,71.665772
-2.333333,8,71.688429
-3.0,9,71.713591
-2.333333,8,71.735281
-3.0,9,71.75879
-2.333333,8,71.780065
-3.583333,10,71.8073
-2.333333,8,71.829565
-2.5,9,71.855015
-2.416667,9,71.879815
-2.333333,8,71.906277
-2.333333,8,71.933744
-2.333333,8,71.956771
-3.0,9,71.980618
-3.0,9,72.005294
-2.333333,8,72.032284
-3.0,9,72.055302
-3.0,9,72.080076
-2.333333,8,72.102039
-3.0,9,72.126984
-2.333333,8,72.148624
-3.25,11,72.179264
-3.0,9,72.205573
-3.25,11,72.236879
-3.0,9,72.260273
-3.0,9,72.284779
-3.0,9,72.308519
-3.0,9,72.335057
-2.333333,8,72.354398
-2.333333,8,72.373914
-3.25,11,72.407048
-3.0,9,72.431333
-3.0,9,72.455664
-3.0,9,72.48048
-2.333333,8,72.502038
-3.25,11,72.534547
-3.0,9,72.557187
-2.333333,8,72.579674
-2.333333,8,72.602339
-2.333333,8,72.626455
-2.333333,8,72.648944
-2.333333,8,72.669241
-2.333333,8,72.69034
-3.0,9,72.713777
-2.333333,8,72.73438
-2.333333,8,72.756433
-3.0,9,72.77904
-3.25,11,72.808226
-2.333333,8,72.830103
-3.0,9,72.853827
-2.416667,9,72.879025
-3.0,9,72.908087
-3.0,9,72.933265
-2.333333,8,72.955629
-3.0,9,72.97969
-3.0,9,73.002451
-2.333333,8,73.023937
-3.0,9,73.049026
-3.0,9,73.072623
-2.333333,8,73.09289
-3.0,9,73.116712
-2.333333,8,73.139115
-2.333333,8,73.161075
-2.333333,8,73.18359
-2.333333,8,73.20478
-3.0,9,73.228908
-2.333333,8,73.25132
-3.0,9,73.275069
-3.0,9,73.300237
-3.0,9,73.324229
-3.0,9,73.349141
-3.25,11,73.376587
-3.0,9,73.407202
-3.25,11,73.437318
-3.0,9,73.461874
-2.333333,8,73.482764
-3.0,9,73.508382
-2.333333,8,73.529439
-3.0,9,73.553799
-3.0,9,73.578685
-3.0,9,73.60223
-2.333333,8,73.623849
-3.5,10,73.650793
-2.333333,8,73.673018
-2.333333,8,73.695547
-3.25,11,73.726321
-3.0,9,73.750899
-3.0,9,73.776705
-2.333333,8,73.798032
-2.333333,8,73.818424
-2.333333,8,73.842195
-3.0,9,73.867332
-2.333333,8,73.889522
-2.333333,8,78.434085
-3.0,9,78.451174
-2.333333,8,78.468809
-3.0,9,78.486883
-2.333333,8,78.506655
-3.75,14,78.545232
-2.333333,8,78.567757
-3.0,9,78.592407
-2.333333,8,78.613995
-2.333333,8,78.636257
-2.333333,8,78.657946
-3.0,9,78.68453
-2.333333,8,78.706512
-2.333333,8,78.727907
-2.333333,8,78.749725
-3.0,9,78.775789
-2.333333,8,78.799754
-3.0,9,78.824357
-2.333333,8,78.845568
-2.333333,8,78.874067
-3.0,9,78.900895
-2.333333,8,78.938467
-3.0,9,78.972931
-3.0,9,79.008691
-3.0,9,79.049858
-2.333333,8,79.080913
-3.25,11,79.119904
-3.0,9,79.149988
-3.083333,10,79.181473
-2.333333,8,79.207474
-3.0,9,79.234955
-2.333333,8,79.257976
-3.0,9,79.284613
-3.0,9,79.313485
-3.0,9,79.343052
-3.0,9,79.376952
-2.333333,8,79.403772
-2.333333,8,79.441262
-2.333333,8,79.467779
-2.333333,8,79.496052
-3.0,9,79.529942
-3.0,9,79.563894
-2.333333,8,79.587455
-2.333333,8,79.610109
-3.0,9,79.635012
-3.0,9,79.660182
-3.0,9,79.686124
-3.0,9,79.713885
-3.0,9,79.745766
-3.0,9,79.775346
-3.0,9,79.795755
-3.0,9,79.816304
-3.0,9,79.837357
-2.333333,8,79.856645
-2.333333,8,79.879786
-3.0,9,79.904466
-3.0,9,79.932352
-3.0,9,79.957216
-2.333333,8,79.979662
-3.333333,10,80.006535
-3.0,9,80.031733
-2.916667,9,80.056803
-2.333333,8,80.078787
-3.0,9,80.101814
-3.0,9,80.126031
-2.333333,8,80.14653
-3.0,9,80.171132
-3.0,9,80.194851
-2.333333,8,80.219294
-3.0,9,80.243875
-3.0,9,80.269748
-3.0,9,80.29438
-3.0,9,80.319025
-3.0,9,80.344827
-3.0,9,80.369191
-3.0,9,80.392871
-3.0,9,80.417034
-2.333333,8,80.443232
-2.333333,8,80.464856
-2.333333,8,80.486824
-2.333333,8,80.508736
-3.0,9,80.533131
-2.333333,8,80.556049
-3.0,9,80.581543
-3.0,9,80.606993
-2.333333,8,80.630886
-2.333333,8,80.652667
-2.333333,8,80.674741
-2.333333,8,80.697872
-3.0,9,80.721396
-3.0,9,80.746071
-3.0,9,80.770431
-3.0,9,80.795678
-3.0,9,80.821601
-3.0,9,80.844779
-2.333333,8,80.866839
-2.333333,8,80.889435
-3.0,9,80.913968
-3.0,9,80.945696
-3.0,9,80.967311
-3.0,9,80.993601
-3.0,9,81.017157
-2.333333,8,81.040482
-3.0,9,81.063102
-3.25,10,81.090473
-2.333333,8,81.114813
-3.25,11,81.142567
-2.333333,8,81.165446
-2.333333,8,81.18658
-2.333333,8,81.208632
-2.333333,8,81.233484
-2.333333,8,81.253412
-2.333333,8,81.275963
-3.0,9,81.3014
-3.0,9,81.327935
-3.0,9,81.351713
-3.0,9,81.376038
-3.0,9,81.400776
-3.0,9,81.426065
-3.083333,10,81.455461
-2.333333,8,81.476005
-3.0,9,81.501257
-2.333333,8,81.522857
-2.333333,8,81.544975
-3.0,9,81.571403
-2.333333,8,81.589262
-2.416667,9,81.612897
-3.0,9,81.636533
-2.333333,8,81.65865
-3.083333,10,81.686522
-3.0,9,81.711957
-3.0,9,81.73779
-3.0,9,81.764051
-2.333333,8,81.785769
-3.0,9,81.810225
-3.0,9,81.83483
-2.333333,8,81.855385
-3.0,9,81.879427
-2.333333,8,81.898838
-3.0,9,81.923215
-3.0,9,81.950538
-2.333333,8,81.971781
-3.0,9,81.995287
-3.0,9,82.019585
