#{"t_start": 1650888470.1980486, "env_id": "SW-v0"}
r,l,t
1.0,22,25.28047
1.0,20,25.296523
1.0,11,25.305288
1.0,19,25.320865
1.0,26,25.341746
1.0,13,25.681696
1.0,21,25.702608
1.0,16,25.717618
1.0,14,25.730499
1.0,10,25.739555
1.0,18,25.755692
1.0,21,25.774087
1.0,10,25.782397
1.0,13,25.793065
1.0,10,25.80125
1.0,19,25.816894
1.0,16,25.830148
1.0,19,25.846288
1.0,14,25.857738
1.0,14,25.869173
1.0,15,25.881503
1.0,21,25.898656
1.0,12,25.908425
1.0,14,25.919828
1.0,13,25.930404
1.0,12,25.940129
1.0,9,25.947425
1.0,16,25.960953
1.0,19,25.97629
1.0,16,25.989315
1.0,16,26.00226
1.0,16,26.015614
1.0,11,26.025265
1.0,11,26.034682
1.0,12,26.044631
1.0,12,26.054344
1.0,17,26.068243
1.0,20,26.084557
1.0,11,26.093581
1.0,14,26.104817
1.0,30,26.128952
1.0,19,26.144355
1.0,26,26.165642
1.0,17,26.179363
1.0,12,26.189051
1.0,14,26.200322
1.0,13,26.210853
1.0,8,26.217502
1.0,27,26.239417
1.0,10,26.247548
1.0,13,26.258222
1.0,11,26.267453
1.0,17,26.281601
1.0,22,26.299415
1.0,13,26.309963
1.0,22,26.328059
1.0,21,26.345165
1.0,15,26.357504
1.0,10,26.365796
1.0,17,26.379549
1.0,19,26.395218
1.0,20,26.411451
1.0,11,26.420508
1.0,10,26.428787
1.0,13,26.439666
1.0,16,26.452693
1.0,9,26.460042
1.0,17,26.473757
1.0,17,26.487559
1.0,14,26.49907
1.0,25,26.519348
1.0,19,26.53478
1.0,21,26.554343
1.0,19,26.571728
1.0,23,26.59041
1.0,10,26.598551
1.0,21,26.616135
1.0,17,26.630475
1.0,16,26.643943
1.0,28,26.667485
1.0,12,26.677922
1.0,16,26.69165
1.0,12,26.701929
1.0,15,26.714441
1.0,18,26.729633
1.0,14,26.74122
1.0,14,26.752854
1.0,17,26.766896
1.0,15,26.779275
1.0,28,26.802298
1.0,19,26.817885
1.0,19,26.833843
1.0,14,26.845491
1.0,19,26.861022
1.0,15,26.873319
1.0,9,26.880663
1.0,32,26.906456
1.0,24,26.925856
1.0,20,26.941973
1.0,10,26.95086
1.0,10,26.959486
1.0,13,26.970692
1.0,11,26.979848
1.0,9,26.98734
1.0,31,27.012572
1.0,16,27.025867
1.0,13,27.037173
1.0,17,27.05168
1.0,16,27.064769
1.0,11,27.074161
1.0,17,27.088075
1.0,29,27.111687
1.0,18,27.126491
1.0,12,27.136347
1.0,11,27.145468
1.0,10,27.153766
1.0,24,27.17359
1.0,18,27.188396
1.0,17,27.202394
1.0,9,27.209728
1.0,14,27.221644
1.0,22,27.239404
1.0,11,27.249005
1.0,8,27.255633
1.0,10,27.263862
1.0,27,27.286452
1.0,11,27.295479
1.0,11,27.304497
1.0,16,27.317675
1.0,15,27.330011
1.0,16,27.34318
1.0,18,27.357927
1.0,18,27.372689
1.0,11,28.229665
1.0,19,28.249099
1.0,17,28.265191
1.0,10,28.27465
1.0,14,28.287497
1.0,17,28.302911
1.0,11,28.312708
1.0,13,28.32483
1.0,13,28.336678
1.0,14,28.349103
1.0,12,28.359782
1.0,10,28.368799
1.0,12,28.379733
1.0,19,28.396535
1.0,20,28.412904
1.0,11,28.421931
1.0,13,28.432675
1.0,12,28.442557
1.0,8,28.449194
1.0,12,28.459085
1.0,12,28.468878
1.0,13,28.479495
1.0,13,28.490255
1.0,13,28.50101
1.0,14,28.512303
1.0,14,28.523595
1.0,20,28.540073
1.0,12,28.55005
1.0,8,28.55655
1.0,12,28.566263
1.0,10,28.574486
1.0,12,28.584147
1.0,13,28.594972
1.0,10,28.603042
1.0,22,28.620722
1.0,15,28.632899
1.0,18,28.647605
1.0,15,28.659834
1.0,11,28.668674
1.0,12,28.678351
1.0,17,28.691955
1.0,22,28.709682
1.0,8,28.716189
1.0,9,28.723527
1.0,12,28.73319
1.0,11,28.742241
1.0,11,28.751116
1.0,12,28.760871
1.0,12,28.770627
1.0,16,28.783902
1.0,10,28.792114
1.0,14,28.803489
1.0,16,28.816445
1.0,23,28.835376
1.0,13,28.845976
1.0,14,28.857402
1.0,14,28.86872
1.0,11,28.877594
1.0,28,28.900261
1.0,18,28.914741
1.0,14,28.926125
1.0,15,28.938435
1.0,19,28.953761
1.0,12,28.963543
1.0,10,28.971674
1.0,17,28.985492
1.0,10,28.993531
1.0,19,29.008732
1.0,9,29.015976
1.0,13,29.02649
1.0,10,29.034729
1.0,16,29.047877
1.0,12,29.057837
1.0,10,29.066359
1.0,20,29.083871
1.0,18,29.098502
1.0,16,29.111544
1.0,10,29.119807
1.0,22,29.137984
1.0,17,29.152374
1.0,10,29.160763
1.0,27,29.182947
1.0,13,29.193614
1.0,14,29.205035
1.0,15,29.217204
1.0,13,29.227838
1.0,26,29.248761
1.0,10,29.256824
1.0,11,29.265896
1.0,12,29.275753
1.0,9,29.283154
1.0,26,29.304754
1.0,9,29.312219
1.0,10,29.320312
1.0,16,29.333396
1.0,13,29.344114
1.0,11,29.352918
1.0,10,29.361134
1.0,13,29.37171
1.0,14,29.383096
1.0,14,29.394534
1.0,9,29.401765
1.0,12,29.411498
1.0,10,29.4195
1.0,27,29.440972
1.0,15,29.452911
1.0,11,29.461681
1.0,21,29.478387
1.0,11,29.487189
1.0,12,29.496895
1.0,14,29.508062
1.0,17,29.52158
1.0,23,29.539897
1.0,13,29.550647
1.0,19,29.565974
1.0,14,29.577454
1.0,17,29.59111
1.0,13,29.601487
1.0,11,29.610351
1.0,18,29.62469
1.0,10,29.632709
1.0,10,29.640748
1.0,10,29.64875
1.0,12,29.658334
1.0,14,29.669494
1.0,20,29.685422
1.0,14,29.696606
1.0,11,29.705389
1.0,19,29.720478
1.0,15,29.73228
1.0,12,29.741933
1.0,10,29.749849
1.0,14,29.76091
1.0,13,29.771178
1.0,13,29.781739
1.0,26,29.802496
1.0,18,29.816842
1.0,12,29.82688
1.0,19,29.842295
1.0,13,29.852612
1.0,22,29.87014
1.0,14,29.881291
1.0,10,29.890041
1.0,12,29.900518
1.0,22,30.3513
1.0,12,30.364771
1.0,11,30.375277
1.0,13,30.386575
1.0,10,30.395629
1.0,12,30.406315
1.0,14,30.41886
1.0,8,30.426028
1.0,10,30.434985
1.0,17,30.450345
1.0,12,30.461001
1.0,13,30.472568
1.0,9,30.480602
1.0,13,30.492157
1.0,15,30.505578
1.0,20,30.523365
1.0,8,30.530665
1.0,11,30.540483
1.0,13,30.552066
1.0,10,30.561179
1.0,14,30.573747
1.0,12,30.584599
1.0,10,30.593554
1.0,15,30.606844
1.0,11,30.616694
1.0,11,30.626636
1.0,10,30.635581
1.0,12,30.646275
1.0,8,30.653441
1.0,18,30.669465
1.0,10,30.67836
1.0,10,30.687346
1.0,16,30.70173
1.0,11,30.711571
1.0,16,30.725857
1.0,13,30.737401
1.0,15,30.750631
1.0,10,30.759602
1.0,12,30.770282
1.0,8,30.77743
1.0,12,30.788146
1.0,11,30.798051
1.0,8,30.80526
1.0,14,30.817819
1.0,17,30.833112
1.0,9,30.84131
1.0,17,30.856497
1.0,10,30.865496
1.0,10,30.874414
1.0,13,30.886219
1.0,14,30.898777
1.0,9,30.906909
1.0,14,30.91939
1.0,12,30.930003
1.0,13,30.941655
1.0,10,30.95037
1.0,8,30.956992
1.0,12,30.966802
1.0,14,30.978377
1.0,11,30.987405
1.0,13,30.998065
1.0,17,31.011882
1.0,9,31.019312
1.0,8,31.02602
1.0,10,31.034434
1.0,10,31.042801
1.0,9,31.050486
1.0,14,31.062423
1.0,13,31.073393
1.0,10,31.081816
1.0,9,31.08941
1.0,10,31.099976
1.0,8,31.11179
1.0,10,31.120314
1.0,9,31.128102
1.0,16,31.141965
1.0,10,31.150724
1.0,12,31.161
1.0,11,31.170489
1.0,8,31.177458
1.0,14,31.189505
1.0,10,31.198308
1.0,12,31.20852
1.0,14,31.220417
1.0,11,31.229834
1.0,10,31.238367
1.0,8,31.245251
