#{"t_start": 1653903596.7099578, "env_id": "JTL-v0"}
r,l,t
9993.666667,16,32.10501
9992.0,20,32.128261
9991.25,18,32.148049
9993.5,18,32.169701
9993.833333,16,32.187419
9992.166667,20,32.211079
9992.583333,23,32.235459
9991.833333,20,32.256858
9992.583333,18,32.275981
9994.5,12,32.288281
9993.583333,17,32.304146
9994.5,12,32.316311
9991.166667,20,32.33885
9992.666667,16,32.355227
9992.666667,19,32.375419
9992.5,21,32.397814
9990.0,37,32.435677
9993.666667,17,32.453253
9994.416667,13,32.466032
9990.5,21,32.491009
9994.25,14,32.505364
9994.5,12,32.517461
9993.833333,15,32.532724
9987.5,24,32.560281
9994.416667,13,32.573245
9994.25,14,32.588477
9992.25,25,32.612772
9992.5,19,32.630916
9994.5,12,32.642225
9993.416667,14,32.656202
9989.416667,40,32.699951
9994.5,12,32.71457
9988.0,34,32.753048
9994.0,15,32.767693
9994.25,14,32.781516
9994.5,12,32.795698
9994.083333,16,32.814197
9991.333333,20,32.837341
9985.916667,25,32.865862
9994.25,14,32.879713
9993.75,17,32.896815
9993.0,17,32.916073
9994.25,14,32.932313
9991.416667,19,32.955336
9993.916667,17,32.973307
9993.25,19,32.993289
9988.833333,32,33.033459
9992.833333,20,33.054313
9994.5,12,33.067839
9993.583333,14,33.082375
9992.833333,21,33.103041
9993.5,18,33.121406
9993.75,17,33.139389
9994.416667,13,33.153645
9993.416667,14,33.168834
9994.5,12,33.180952
9994.416667,13,33.194782
9994.083333,14,33.209722
9994.5,12,33.223056
9994.25,15,33.239423
9991.833333,19,33.259992
9993.0,16,33.276294
9993.083333,14,33.292768
9991.583333,21,33.314669
9992.333333,27,33.344226
9994.416667,13,33.361536
9991.666667,20,33.395193
9993.166667,16,33.412711
9994.5,12,33.426793
9993.333333,16,33.44454
9993.75,14,33.459156
9993.583333,18,33.47958
9994.5,12,33.492144
9994.5,12,33.504652
9992.416667,18,33.524276
9993.666667,15,33.5392
9992.0,18,33.560654
9993.25,14,33.576238
9992.583333,18,33.59555
9992.833333,16,33.611556
9994.25,14,33.625743
9993.416667,14,33.640659
9994.083333,16,33.657247
9993.083333,22,33.678828
9993.083333,18,33.698165
9993.916667,14,33.713143
9994.25,14,33.727956
9992.25,19,33.74666
9993.0,19,33.765436
9994.083333,14,35.411308
9991.416667,19,35.434009
9994.333333,14,35.448771
9991.416667,18,35.469454
9993.0,18,35.486697
9993.166667,19,35.50494
9991.416667,23,35.528964
9992.333333,17,35.545682
9994.5,12,35.557591
9994.166667,14,35.571252
9991.833333,16,35.586124
9992.333333,18,35.602953
9993.5,16,35.618013
9994.5,12,35.630635
9994.25,14,35.645883
9994.25,15,35.662034
9994.083333,14,35.676159
9994.0,17,35.694559
9993.25,16,35.710165
9994.5,12,35.722199
9989.583333,22,35.746069
9992.916667,18,35.765517
9993.333333,20,35.784558
9994.166667,14,35.798108
9993.25,14,35.813244
9994.25,14,35.827706
9994.083333,14,35.842563
9994.5,12,35.855057
9994.5,12,35.867625
9993.916667,15,35.882105
9994.25,14,35.896486
9993.75,17,35.913742
9992.583333,21,35.936798
9994.083333,15,35.952394
9994.5,12,35.967857
9991.833333,19,35.987343
9994.0,16,36.003163
9991.583333,18,36.021545
9994.25,14,36.03642
9994.0,16,36.054476
9992.333333,26,36.083616
9991.25,21,36.105847
9993.916667,14,36.121494
9993.416667,18,36.141984
9994.5,12,36.155589
9993.583333,14,36.170445
9993.416667,16,36.186787
9993.916667,14,36.202374
9991.583333,18,36.222203
9992.75,18,36.24115
